Title,URL,Reporting guideline acronym,Study design,Clinical area,Language,Reporting guideline provided for?,Applies to the whole report or to individual sections of the report?,Full bibliographic reference,PubMed ID,DOI,Date of publication / Ahead of print date,Reporting guideline website URL,Relevant URLs(full-text if available),Explanation and elaboration papers,Availability in additional languages,Relevant more generic / specialised reporting guidelines,Previous versions of this guideline / Guideline history,Additional information,Other,Selected relevant editorials,"Other relevant research(i.e. research regarding the guideline's effectiveness usability, impact etc.)",Primary guideline publication,Taxonomy terms,Record last updated on,Downloadable files (name|url),Equator-hosted files count
CONSORT-Children and Adolescents,https://www.equator-network.org/reporting-guidelines/consort-children/,CONSORT-Children and Adolescents,,,English,Reporting of paediatric randomised controlled trials that involve participants aged 0-19 years,,"Baba A, Smith M, Potter BK, Chan AW, Moher D, Toulany A, Doherty-Kirby A, Nafria Escalera B, Stratton C, Gale C, Macarthur C, Purper-Ouakil D, Juszczak E, Cohen E, Reggiardo G, Preston J, Cohen JF, Upton J, Allegaert K, Boerner K, Mehta K, Nguyen KA, Courtney K, Hartling L, Konstantinidis M, Odermarsky M, Butcher NJ, Kolehmainen N, Longmuir PE, Gill PJ, Leroy P, Feneberg R, Poluru R, Morris SK, Friedrichsdorf SJ, Chute Nagy T, Klassen TP, Lacaze-Masmonteil T, Onland W, Offringa M. SPIRIT-Children and Adolescents (SPIRIT-C) 2026 extension statement: enhancing the reporting and usefulness of paediatric randomised trial protocols. This guideline was published simultaneously in 3 journals. You can read the guideline in any of these journals using the links below. BMJ 2026; 392: e085061. PMID: 41734966 JAMA Pediatrics 2026; 180: 413-425. PMID: 41734893 Lancet Child and Adolescent Health 2026; 10: 297-307.",41734966,10.1136/bmj-2025-085061,,,Fillable checklists (PDF) and tip sheets for both extensions are available on https://lab.research.sickkids.ca/enrich/reporting-standards/spirit-consort-c/,"Baba A, Smith M, Potter BK, Chan AW, Moher D, Toulany A, Doherty-Kirby A, Nafria Escalera B, Stratton C, Gale C, Macarthur C, Purper-Ouakil D, Juszczak E, Cohen E, Reggiardo G, Preston J, Cohen JF, Upton J, Allegaert K, Boerner K, Mehta K, Nguyen KA, Courtney K, Hartling L, Konstantinidis M, Odermarsky M, Butcher NJ, Kolehmainen N, Longmuir PE, Gill PJ, Leroy P, Feneberg R, Poluru R, Morris SK, Friedrichsdorf SJ, Chute Nagy T, Klassen TP, Lacaze-Masmonteil T, Onland W, Offringa M.CONSORT-C 2026 explanation and elaboration: recommendations for enhancing the reporting and impact of paediatric randomised trials. BMJ 2026; 392: e085063. PMID: 41734942",,"Specialised CONSORT Harms: Junqueira DR, Zorzela L, Golder S, Loke Y, Gagnier JJ, Julious SA, Li T, Mayo-Wilson E, Pham B, Phillips R, Santaguida P, Scherer RW, Gøtzsche PC, Moher D, Ioannidis JPA, Vohra S; CONSORT Harms Group. CONSORT Harms 2022 statement, explanation, and elaboration: updated guideline for the reporting of harms in randomized trials. BMJ. 2023;381:e073725. PMID: 37094878 J Clin Epidemiol. 2023:S0895-4356(23)00090-2. PMID: 37100738 CONSORT Non-inferiority: Piaggio G, Elbourne DR, Pocock SJ, Evans SJW, Altman DG, for the CONSORT Group. Reporting of noninferiority and equivalence randomized trials. Extension of the CONSORT 2010 statement. JAMA. 2012; 308(24): 2594-2604. PMID: 23268518 CONSORT Cluster: Campbell MK, Piaggio G, Elbourne DR, Altman DG; CONSORT Group. Consort 2010 statement: extension to cluster randomised trials. BMJ. 2012;345:e5661. PMID: 22951546 CONSORT Herbal: Gagnier JJ, Boon H, Rochon P, Moher D, Barnes J, Bombardier C, for the CONSORT Group. Reporting randomized, controlled trials of herbal interventions: an elaborated CONSORT Statement. Ann Intern Med. 2006;144(5):364-367. PMID: 16520478 CONSORT Non-pharmacological treatment interventions: Boutron I, Altman DG, Moher D, Schulz KF, Ravaud P; CONSORT NPT Group. CONSORT Statement for Randomized Trials of Nonpharmacologic Treatments: A 2017 Update and a CONSORT Extension for Nonpharmacologic Trial Abstracts. Ann Intern Med. 2017;167(1):40-47. PMID: 28630973 CONSORT Abstracts: Hopewell S, Clarke M, Moher D, Wager E, Middleton P, Altman DG, Schulz KF, the CONSORT Group. CONSORT for reporting randomized controlled trials in journal and conference abstracts: explanation and elaboration. PLoS Med. 2008; 5(1):e20. PMID: 18215107 Hopewell S, Clarke M, Moher D, Wager E, Middleton P, Altman DG, Schulz KF, the CONSORT Group. CONSORT for reporting randomised trials in journal and conference abstracts. Lancet. 2008;371(9609):281-3. PMID: 18221781 CONSORT Pragmatic Trials: Zwarenstein M, Treweek S, Gagnier JJ, Altman DG, Tunis S, Haynes B, Oxman AD, Moher D; CONSORT group; Pragmatic Trials in Healthcare (Practihc) group. Improving the reporting of pragmatic trials: an extension of the CONSORT statement. BMJ. 2008;337:a2390. PMID: 19001484 STRICTA Controlled trials of acupuncture: MacPherson H, Altman DG, Hammerschlag R, Youping L, Taixiang W, White A, Moher D; STRICTA Revision Group. Revised STandards for Reporting Interventions in Clinical Trials of Acupuncture (STRICTA): extending the CONSORT statement. PLoS Med. 2010;7(6):e1000261. PMID: 20543992 CONSORT PRO: Calvert M, Blazeby J, Altman DG, Revicki DA, Moher D, Brundage MD; CONSORT PRO Group. Reporting of patient-reported outcomes in randomized trials: the CONSORT PRO extension. JAMA. 2013;309(8):814-22. PMID: 23443445 CONSORT-CENT: Vohra S, Shamseer L, Sampson M, Bukutu C, Schmid CH, Tate R, Nikles J, Zucker DR, Kravitz R, Guyatt G, Altman DG, Moher D; CENT group. CONSORT extension for reporting N-of-1 trials (CENT) 2015 Statement.BMJ. 2015;350:h1738. PMID: 25976398 CONSORT for orthodontic trials: Pandis N, Fleming PS, Hopewell S, Altman DG. The CONSORT Statement: Application within and adaptations for orthodontic trials. Am J Orthod Dentofacial Orthop. 2015;147(6):663-679. PMID: 26038070 TIDieR: Hoffmann T, Glasziou P, Boutron I, Milne R, Perera R, Moher D, Altman D, Barbour V, Macdonald H, Johnston M, Lamb S, Dixon-Woods M, McCulloch P, Wyatt J, Chan A, Michie S. Better reporting of interventions: template for intervention description and replication (TIDieR) checklist and guide. BMJ. 2014;348:g1687. PMID: 24609605 Simulation Research: Cheng A, Kessler D, Mackinnon R, Chang TP, Nadkarni VM, Hunt EA, Duval-Arnould J, Lin Y, Cook DA, Pusic M, Hui J, Moher D, Egger M, Auerbach M; International Network for Simulation-based Pediatric Innovation, Research, and Education (INSPIRE) Reporting Guidelines Investigators. Reporting Guidelines for Health Care Simulation Research: Extensions to the CONSORT and STROBE Statements. Simul Healthc. 2016;11(4):238-248. PMID: 27465839 CONSORT for pilot and feasibility trials: Eldridge SM, Chan CL, Campbell MJ, Bond CM, Hopewell S, Thabane L, Lancaster GA; on behalf of the PAFS consensus group. CONSORT 2010 statement: extension to randomised pilot and feasibility trials. Pilot and Feasibility Stud. 2016;2:64. PMID: 27965879 CONSORT-CHM formulas: Cheng C-W, Wu T-X, Shang H-C, Li Y-P, Altman DG, Moher D, Bian Z-X; for the CONSORT-CHM Formulas 2017 Group. CONSORT Extension for Chinese Herbal Medicine Formulas 2017: Recommendations, Explanation, and Elaboration. 2017. Ann Intern Med. Link to full-text. CONSORT for within person randomised trials: Pandis N, Chung B, Scherer RW, Elbourne D, Altman DG. CONSORT 2010 statement: extension checklist for reporting within person randomised trials. BMJ. 2017;357:j2835. PMID: 28667088 CONSORT Equity: Welch VA, Norheim OF, Jull J, Cookson R, Sommerfelt H, Tugwell P; CONSORT-Equity and Boston Equity Symposium. CONSORT-Equity 2017 extension and elaboration for better reporting of health equity in randomised trials. BMJ. 2017;359:j5085. PMID: 29170161 CONSORT-SPI: Montgomery P, Grant S, Mayo-Wilson E, Macdonald G, Michie S, Hopewell S, Moher D; on behalf of the CONSORT-SPI Group. Reporting randomised trials of social and psychological interventions: the CONSORT-SPI 2018 Extension. Trials. 2018;19:407. PMID: 30060754 Stepped wedge cluster randomised trials: Hemming K, Taljaard M, McKenzie JE, Hooper R, Copas A, Thompson JA, Dixon-Woods M, Aldcroft A, Doussau A, Grayling M, Kristunas C, Goldstein CE, Campbell MK, Girling A, Eldridge S, Campbell MJ, Lilford RJ, Weijer C, Forbes AB, Grimshaw JM. Reporting of stepped wedge cluster randomised trials: extension of the CONSORT 2010 statement with explanation and elaboration. BMJ. 2018;363:k1614. PMID: 30413417 CONSORT for multi-arm parallel-group randomised trials: Juszczak E, Altman DG, Hopewell S, Schulz K. Reporting of Multi-Arm Parallel-Group Randomized Trials: Extension of the CONSORT 2010 Statement. JAMA. 2019;321(16):1610-1620. PMID: 31012939 CONSORT 2010 extension to randomised crossover trials: Dwan K, Li T, Altman DG, Elbourne D. CONSORT 2010 statement: extension to randomised crossover trials. BMJ. 2019;366:l4378. PMID: 31366597 CENT for TCM: Li J, Hu JY, Zhai JB, Niu JQ, Kwong JSW, Ge L, Li B, Wang Q, Wang XQ, Wei D, Tian JH, Ma B, Yang KH, Dai M, Tian GH, Shang HC; CENT for TCM Working Group. CONSORT extension for reporting N-of-1 trials for traditional Chinese medicine (CENT for TCM): Recommendations, explanation and elaboration. Complement Ther Med. 2019;46:180-188. PMID: 31519276 STRICTOC: Zhang X, Tian R, Lam WC, Duan Y, Liu F, Zhao C, Wu T, Shang H, Tang X, Lyu A, Bian Z. Standards for reporting interventions in clinical trials of cupping (STRICTOC): extending the CONSORT statement. Chin Med. 2020;15:10. PMID: 32021646 ACE Statement: Dimairo M, Pallmann P, Wason J, Todd S, Jaki T, Julious SA, Mander AP, Weir CJ, Koenig F, Walton MK, Nicholl JP, Coates E, Biggs K, Hamasaki T, Proschan MA, Scott JA, Ando Y, Hind D, Altman DG; ACE Consensus Group. The adaptive designs CONSORT extension (ACE) statement: a checklist with explanation and elaboration guideline for reporting randomised trials that use an adaptive design. BMJ. 2020;369:m115. PMID: 32554564 Trials. 2020;21(1):528. PMID: 32546273 CONSORT-AI: Liu X, Rivera SC, Moher D, Calvert MJ, Denniston AK; on behalf of the SPIRIT-AI and CONSORT-AI Working Group. Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI Extension. BMJ 2020;370:m3164. PMID: 32909959 Nat Med. 2020:26(9):1364–1374. PMID: 32908283 Lancet Digital Health. 2020;2(10):e537-e548. PMID: 33328048 CONSORT-ROUTINE: Kwakkenbos L, Imran M, McCall SJ, McCord KA, Fröbert O, Hemkens LG, Zwarenstein M, Relton C, Rice DB, Langan SM, Benchimol EI, Thabane L, Campbell MK, Sampson M, Erlinge D, Verkooijen HM, Moher D, Boutron I, Ravaud P, Nicholl J, Uher R, Sauvé M, Fletcher J, Torgerson D, Gale C, Juszczak E, Thombs BD. CONSORT extension for the reporting of randomised controlled trials conducted using cohorts and routinely collected data (CONSORT-ROUTINE): checklist with explanation and elaboration. BMJ. 2021;373:n857. PMID: 33926904 CONSORT-Outcomes: Butcher NJ, Monsour A, Mew EJ, Chan AW, Moher D, Mayo-Wilson E, Terwee CB, Chee-A-Tow A, Baba A, Gavin F, Grimshaw JM, Kelly LE, Saeed L, Thabane L, Askie L, Smith M, Farid-Kapadia M, Williamson PR, Szatmari P, Tugwell P, Golub RM, Monga S, Vohra S, Marlin S, Ungar WJ, Offringa M. Guidelines for Reporting Outcomes in Trial Reports: The CONSORT-Outcomes 2022 Extension. JAMA. 2022;328(22):2252-2264. PMID: 36511921 CONSORT-DEFINE: Yap C, Solovyeva O, de Bono J, Rekowski J, Patel D, Jaki T, Mander A, Evans TRJ, Peck R, Hayward KS, Hopewell S, Ursino M, Rantell KR, Calvert M, Lee S, Kightley A, Ashby D, Chan AW, Garrett-Mayer E, Isaacs JD, Golub R, Kholmanskikh O, Richards D, Boix O, Matcham J, Seymour L, Ivy SP, Marshall LV, Hommais A, Liu R, Tanaka Y, Berlin J, Espinasse A, Dimairo M, Weir CJ. Enhancing reporting quality and impact of early phase dose-finding clinical trials: CONSORT Dose-finding Extension (CONSORT-DEFINE) guidance. BMJ. 2023;383:e076387. PMID: 37863501 CONSORT Factorial: Kahan BC, Hall SS, Beller EM, Birchenall M, Chan AW, Elbourne D, Little P, Fletcher J, Golub RM, Goulao B, Hopewell S, Islam N, Zwarenstein M, Juszczak E, Montgomery AA. Reporting of Factorial Randomized Trials: Extension of the CONSORT 2010 Statement. JAMA. 2023;330(21):2106-2114. PMID: 38051324 CONSORT-Surrogate: Manyara AM, Davies P, Stewart D, Weir CJ, Young AE, Blazeby J, Butcher NJ, Bujkiewicz S, Chan AW, Dawoud D, Offringa M, Ouwens M, Hróbjartssson A, Amstutz A, Bertolaccini L, Bruno VD, Devane D, Faria CDCM, Gilbert PB, Harris R, Lassere M, Marinelli L, Markham S, Powers JH 3rd, Rezaei Y, Richert L, Schwendicke F, Tereshchenko LG, Thoma A, Turan A, Worrall A, Christensen R, Collins GS, Ross JS, Taylor RS, Ciani O. Reporting of surrogate endpoints in randomised controlled trial reports (CONSORT-Surrogate): extension checklist with explanation and elaboration. BMJ. 2024;386:e078524. PMID: 38981645 CONSORT-iNeurostim: Duarte RV, Bresnahan R, Copley S, Eldabe S, Thomson S, North RB, Baranidharan G, Levy RM, Collins GS, Taylor RS. Reporting guidelines for randomised controlled trial reports of implantable neurostimulation devices: the CONSORT-iNeurostim extension. EClinicalMedicine. 2024;78:102932. PMID: 39606687 CONSORT CRXO: McKenzie JE, Taljaard M, Hemming K, Arnup SJ, Giraudeau B, Eldridge S, Hooper R, Kahan BC, Li T, Moher D, Turner EL, Grimshaw JM, Forbes AB. Reporting of cluster randomised crossover trials: extension of the CONSORT 2010 statement with explanation and elaboration. BMJ. 2025;388:e080472. PMID: 39761979",,,,,,,,"April 17, 2026",,0
Consensus-based reporting guideline for participatory development and evaluation of digital health interventions,https://www.equator-network.org/reporting-guidelines/consensus-based-reporting-guideline-for-participatory-development-and-evaluation-of-digital-health-interventions/,,,,,Reporting of participatory development and evaluation of digital health interventions.,Whole report,"Weirauch V, Mainz A, Nitsche J, Busse TS, Meister S. Consensus-based reporting guideline for participatory development and evaluation of digital health interventions. NPJ Digit Med. 2026 Jan 20. PMID: 41559194",41559194,10.1038/s41746-026-02355-5,,,The checklist of reporting recommendations can be found here.,,,,,,,,,,,"February 16, 2026",here|https://static-content.springer.com/esm/art%3A10.1038%2Fs41746-026-02355-5/MediaObjects/41746_2026_2355_MOESM1_ESM.pdf,0
Reporting guidelines for physiotherapy case reports: a consensus-based development (PhyCARE),https://www.equator-network.org/reporting-guidelines/phycare-reporting-guidelines-for-physiotherapy-case-reports-a-consensus-based-development/,PhyCARE,,"Rehabilitation medicine, Sport and exercise medicine",,"Structured reporting of physiotherapy case reports, encompassing physiotherapy-specific assessments and interventions.",Whole report,"Naqvi WM, Mishra GV, Shaikh SZ, Pashine AA, Sánchez Romero EA, Swaminathan N, Jiandani MP, Herrero P, Zazulak B, Macpherson CE, Goyal C, Zadro JR, Sahni P, Innocenti T, Quazi Syed Z, Hoogeboom T, Kiekens C. PhyCARE reporting guidelines for physiotherapy case reports: a consensus-based development. BMJ Open. 2026 Jan 27;16(1):e110765. doi: 10.1136/bmjopen-2025-110765.",41592824,10.1136/bmjopen-2025-110765,,,The PhyCARE checklist can be found here.,,,,,,,,,,,"February 16, 2026",here|https://bmjopen.bmj.com/content/bmjopen/16/1/e110765/DC7/embed/inline-supplementary-material-7.pdf?download=true,0
STARBIV : A standard to report biological variation data studies,https://www.equator-network.org/reporting-guidelines/starbiv-a-standard-to-report-biological-variation-data-studies/,STARBIV,,,English,Reporting Biological Variation Data Studies,Whole report,"Bartlett WA, Sandberg S, Carobene A, Fernandez-Calle P, Diaz-Garzon J, Coskun A, Jonker N, Galior K, Gonzales-Lao E, Moreno-Parro I, Sufrate-Vergara B, Webster C, Itkonen O, Marques-García F, Aarsand AK. A standard to report biological variation data studies - based on an expert opinion. Clin Chem Lab Med. 2024 Jul 8;63(1):52-59. doi: 10.1515/cclm-2024-0489.",38965828,10.1515/cclm-2024-0489.,,https://biologicalvariation.eu/Publication_Structure_V2_0.html,Online resources for STARBIV can be found here.,,,,,,,An editorial accompanying STARBIV can be found here.,,Read the full STARBIV guidance here.,,"November 22, 2025",,0
TIDieR-C,https://www.equator-network.org/reporting-guidelines/tidier-c/,TIDieR-C,Clinical trials,Paediatrics,English,Reporting of Paediatric Clinical Trial Interventions,Intervention (exposure),"Goren K, Lai VKW, Baba A, Smith M, Allegaert K, Butcher NJ, Fernandes R, Gill PJ, Hartling L, Juszczak E, Longmuir PE, Macarthur C, Mehta K, Metz D, Nguyen KA, Odermarsky M, Poluru R, Purper-Ouakil D, Reggiardo G, Stratton C, Szatmari P, Trivedi A, Upton J, Hoffmann T, Offringa M. Transparent Reporting of Pediatric Clinical Trial Interventions: TIDieR-Children and Adolescents. Pediatrics. 2025 Nov 1;156(5):e2025072867. doi: 10.1542/peds.2025-072867.",41087014,10.1542/peds.2025-072867,,https://lab.research.sickkids.ca/enrich/tidier-c/,Word and PDF versions of the TIDieR-C checklist can be found on here.,,,"Generic TIDieR: Hoffmann T, Glasziou P, Boutron I, Milne R, Perera R, Moher D, Altman D, Barbour V, Macdonald H, Johnston M, Lamb S, Dixon-Woods M, McCulloch P, Wyatt J, Chan A, Michie S. Better reporting of interventions: template for intervention description and replication (TIDieR) checklist and guide. BMJ. 2014;348:g1687. PMID: 24609605 Specialisd TIDieR-PHP: Campbell M, Katikireddi SV, Hoffmann T, Armstrong R, Waters E, Craig P. TIDieR-PHP: a reporting guideline for population health and policy interventions. BMJ. 2018;361:k1079. PMID: 29769210",,,,,,Read the full TIDieR-C guidance here.,,"November 22, 2025",,0
An Extension of the CARE Guidelines for Dry Needling Case Reports (CARE-DN),https://www.equator-network.org/reporting-guidelines/care-dn-an-extension-of-the-care-guidelines-for-dry-needling-case-reports/,CARE-DN,,Complementary and alternative medicine,,CARE-DN provides consensus-based reporting guideline extension specifically for dry needling case reports.,Whole report,"Tzigkounakis G, Simati K, Georgiadis K, Kostaridou V, Battersby P, Calvo S, Herrero P, Kuzdzal A, McEvoy J, Sánchez Milá Z, Velázquez Saornil J, Voight M, Wang T, Stefanakis M. CARE-DN: An Extension of the CARE Guidelines for Dry Needling Case Reports. Cureus. 2026 Jan 18;18(1):e101789. PMID: 41555957.",41555957.,10.7759/cureus.101789.,,,A fillable checklist can be found here. The CARE-DN Explanation and Elaboration can be found here.,,,,,,,,,,,"February 16, 2026",here|https://care.healthandresilience.org/wp-content/uploads/2025/11/CARE-DN_round_2-E-E.pdf,0
Reporting GUideline for Intervention DEscription in Rehabilitation (GUIDE-Rehab),https://www.equator-network.org/reporting-guidelines/reporting-guideline-for-intervention-description-in-rehabilitation-guide-rehab/,GUIDE-Rehab,,Rehabilitation medicine,,Guidance for reporting intervention studies of rehabilitation as a complex intervention.,Whole report,"Negrini S, Arienti C, Armijo-Olivo S, Côté P, Heinemann AW, Kiekens C, Kumbhare D, Levack W, Meyer-Feil T, Whyte J; RCTRACK Executive Committee; GUIDE-Rehab Advisory Committee; Rehabilitation Journals Chief Editors; PREPARE Project Clinical Partners. Reporting GUideline for Intervention DEscription in Rehabilitation (GUIDE-Rehab): a tool to open the 'black box' of rehabilitation complex interventions. BMJ Evid Based Med. 2025 Dec 21:bmjebm-2025-113997. PMID: 41390170",41390170,10.1136/bmjebm-2025-113997,,,,The checklist and Explanation and Elaboration can be found here.,,,,,,,,,,"February 16, 2026",here|https://ebm.bmj.com/content/ebmed/early/2025/12/21/bmjebm-2025-113997/DC3/embed/inline-supplementary-material-3.pdf?download=true,0
Reporting of perinatal pharmacoepidemiology studies,https://www.equator-network.org/reporting-guidelines/reporting-of-perinatal-pharmacoepidemiology-studies/,,Observational studies,Obstetrics and gynaecology,English,Perinatal pharmacoepidemiology,Whole report,"Margulis AV, Kawai AT, Anthony MS, Rivero-Ferrer E. Perinatal pharmacoepidemiology: How often are key methodological elements reported in publications? Pharmacoepidemiol Drug Saf 2022; 31: 61-71.",34498338,10.1002/pds.5353,,,,,,,,,,,,Read the guidance here.,,"November 22, 2025",,0
SPIRIT-Children and Adolescents,https://www.equator-network.org/reporting-guidelines/spirit-children/,SPIRIT-Children and Adolescents,Clinical trials,,English,Reporting of paediatric randomised controlled trial protocols involving participants aged 0-19 years.,Whole report,"Baba A, Smith M, Potter BK, Chan AW, Moher D, Toulany A, Doherty-Kirby A, Nafria Escalera B, Stratton C, Gale C, Macarthur C, Purper-Ouakil D, Juszczak E, Cohen E, Reggiardo G, Preston J, Cohen JF, Upton J, Allegaert K, Boerner K, Mehta K, Nguyen KA, Courtney K, Hartling L, Konstantinidis M, Odermarsky M, Butcher NJ, Kolehmainen N, Longmuir PE, Gill PJ, Leroy P, Feneberg R, Poluru R, Morris SK, Friedrichsdorf SJ, Chute Nagy T, Klassen TP, Lacaze-Masmonteil T, Onland W, Offringa M. SPIRIT-Children and Adolescents (SPIRIT-C) 2026 extension statement: enhancing the reporting and usefulness of paediatric randomised trial protocols. This guideline was published simultaneously in 3 journals. You can read the guideline in any of these journals using the links below. BMJ 2026; 392: e085062. PMID: 41734969 JAMA Pediatrics 2026; 180: 426-439. PMID: 41734892 Lancet Child and Adolescent Health 2026; 10: 284-296.",41734969,10.1136/bmj-2025-085062,,,Fillable checklists (PDF) and tip sheets for both extensions are available on https://lab.research.sickkids.ca/enrich/reporting-standards/spirit-consort-c/,"Baba A, Smith M, Potter BK, Chan AW, Moher D, Toulany A, Doherty-Kirby A, Escalera BN, Stratton C, Gale C, Macarthur C, Purper-Ouakil D, Juszczak E, Cohen E, Reggiardo G, Preston J, Cohen JF, Upton J, Allegaert K, Boerner K, Mehta K, Nguyen KA, Courtney K, Hartling L, Konstantinidis M, Odermarsky M, Butcher NJ, Kolehmainen N, Longmuir PE, Gill PJ, Leroy P, Feneberg R, Poluru R, Morris SK, Friedrichsdorf SJ, Nagy TC, Klassen TP, Lacaze-Masmonteil T, Onland W, Offringa M. SPIRIT-C 2026 explanation and elaboration: recommendations for enhancing the reporting and usefulness of paediatric randomised trial protocols. BMJ 2026; 392: e085064. PMID: 41734970",,"Specialised SPIRIT-PRO: Calvert M, Kyte D, Mercieca-Bebber R, Slade A, Chan A-W, King MT; and the SPIRIT-PRO Group. Guidelines for Inclusion of Patient-Reported Outcomes in Clinical Trial Protocols: The SPIRIT-PRO Extension. JAMA. 2018;319(5):483-494. Link to abstract SPIRIT-TCM: Dai L, Cheng CW, Tian R, Zhong LL, Li YP, Lyu AP, Chan AW, Shang HC, Bian ZX. Standard Protocol Items for Clinical Trials with Traditional Chinese Medicine 2018: Recommendations, Explanation and Elaboration (SPIRIT-TCM Extension 2018). Chin J Integr Med. 2019;25(1):71-79. PMID: 30484022 SPENT 2019: Porcino AJ, Shamseer L, Chan A-W, Kravitz RL, Orkin A, Punja S, Ravaud P, Schmid CH, Vohra S; on behalf of the SPENT group. SPIRIT extension and elaboration for n-of-1 trials: SPENT 2019 checklist. BMJ 2020; 368. Link to full-text. SPIRIT-AI: Rivera SC, Liu X, Chan A-W, Denniston AK, Calvert MJ; on behalf of the SPIRIT-AI and CONSORT-AI Working Group. Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI Extension. BMJ. 2020;370:m3210. PMID: 32907797 Nat Med. 2020;26(9):1351–1363. PMID: 32908284 Lancet Digital Health. 2020;2(10):e549-e560. PMID: 33328049 SPIRIT-Path: Kendall TJ, Robinson M, Brierley DJ, Lim SJ, O'Connor DJ, Shaaban AM, Lewis I, Chan AW, Harrison DJ; SPIRIT-Path group. Guidelines for cellular and molecular pathology content in clinical trial protocols: the SPIRIT-Path extension. Lancet Oncol. 2021;22(10):e435-e445. PMID: 34592193 SPIRIT-Outcomes: Butcher NJ, Monsour A, Mew EJ, Chan AW, Moher D, Mayo-Wilson E, Terwee CB, Chee-A-Tow A, Baba A, Gavin F, Grimshaw JM, Kelly LE, Saeed L, Thabane L, Askie L, Smith M, Farid-Kapadia M, Williamson PR, Szatmari P, Tugwell P, Golub RM, Monga S, Vohra S, Marlin S, Ungar WJ, Offringa M. Guidelines for Reporting Outcomes in Trial Protocols: The SPIRIT-Outcomes 2022 Extension. JAMA. 2022;328(23):2345-2356. PMID: 36512367 SPIRIT-DEFINE: Yap C, Rekowski J, Ursino M, Solovyeva O, Patel D, Dimairo M, Weir CJ, Chan AW, Jaki T, Mander A, Evans TRJ, Peck R, Hayward KS, Calvert M, Rantell KR, Lee S, Kightley A, Hopewell S, Ashby D, Garrett-Mayer E, Isaacs J, Golub R, Kholmanskikh O, Richards DP, Boix O, Matcham J, Seymour L, Ivy SP, Marshall LV, Hommais A, Liu R, Tanaka Y, Berlin J, Espinasse A, de Bono J. Enhancing quality and impact of early phase dose-finding clinical trial protocols: SPIRIT Dose-finding Extension (SPIRIT-DEFINE) guidance. BMJ. 2023;383:e076386. PMID: 37863491 SPIRIT Factorial: Kahan BC, Hall SS, Beller EM, Birchenall M, Elbourne D, Juszczak E, Little P, Fletcher J, Golub RM, Goulao B, Hopewell S, Islam N, Zwarenstein M, Chan AW, Montgomery AA. Consensus Statement for Protocols of Factorial Randomized Trials: Extension of the SPIRIT 2013 Statement. JAMA Netw Open. 2023;6(12):e2346121. PMID: 38051535 SPIRIT-Surrogate: Manyara AM, Davies P, Stewart D, Weir CJ, Young AE, Blazeby J, Butcher NJ, Bujkiewicz S, Chan AW, Dawoud D, Offringa M, Ouwens M, Hróbjartssson A, Amstutz A, Bertolaccini L, Bruno VD, Devane D, Faria CDCM, Gilbert PB, Harris R, Lassere M, Marinelli L, Markham S, Powers JH 3rd, Rezaei Y, Richert L, Schwendicke F, Tereshchenko LG, Thoma A, Turan A, Worrall A, Christensen R, Collins GS, Ross JS, Taylor RS, Ciani O. Reporting of surrogate endpoints in randomised controlled trial protocols (SPIRIT-Surrogate): extension checklist with explanation and elaboration. BMJ. 2024;386:e078525. PMID: 38981624 SPIRIT-iNeurostim: Bresnahan R, Copley S, Eldabe S, Thomson S, North RB, Baranidharan G, Levy RM, Collins GS, Taylor RS, Duarte RV. Reporting guidelines for protocols of randomised controlled trials of implantable neurostimulation devices: the SPIRIT-iNeurostim extension. EClinicalMedicine. 2024;78:102933. PMID: 39610902",,,,,,,,"April 17, 2026",,0
Reporting qualitative Methods in Mental Health Research,https://www.equator-network.org/reporting-guidelines/reporting-qualitative-methods-in-mental-health-research/,MENTOR,Qualitative research,,English,Reporting qualitative Methods in Mental Health Research,Whole report,"Beg MJ. Qualitative Methods in Mental Health Research: Standards for Ethical Inquiry, Research Practice, and Peer Review. Indian J Psychol Med 2025; doi: 10.1177/02537176251363817. Online ahead of print.",40799658,10.1177/02537176251363817,,,,,,,,,,,,Read the full guidance here.,,"October 10, 2025",,0
