"section","item_no","item_text","response_type"
"Title and abstract","1","Indicate the study's design with a commonly used term in the title or the abstract; provide in the abstract an informative and balanced summary of what was done and what was found.","page_ref"
"Introduction","2","Explain the scientific background and rationale for the investigation being reported.","page_ref"
"Introduction","3","State specific objectives, including any prespecified hypotheses.","page_ref"
"Methods","4","Present key elements of study design early in the paper.","page_ref"
"Methods","5","Describe the setting, locations, and relevant dates, including periods of recruitment, exposure, follow-up, and data collection.","page_ref"
"Methods","6","Give the eligibility criteria, and the sources and methods of selection of participants; describe methods of follow-up (cohort), matching (case-control/cohort), or case ascertainment and controls.","page_ref"
"Methods","7","Clearly define all outcomes, exposures, predictors, potential confounders, and effect modifiers; give diagnostic criteria, if applicable.","page_ref"
"Methods","8","For each variable of interest, give sources of data and details of methods of assessment (measurement); describe comparability of assessment methods if there is more than one group.","page_ref"
"Methods","9","Describe any efforts to address potential sources of bias.","page_ref"
"Methods","10","Explain how the study size was arrived at.","page_ref"
"Methods","11","Explain how quantitative variables were handled in the analyses; if applicable, describe which groupings were chosen and why.","page_ref"
"Methods","12","Describe all statistical methods, including those used to control for confounding; methods to examine subgroups and interactions; how missing data were addressed; analytical approach to loss to follow-up / matching / sampling; and any sensitivity analyses.","page_ref"
"Results","13","Report numbers of individuals at each stage of the study; give reasons for non-participation at each stage; consider use of a flow diagram.","page_ref"
"Results","14","Give characteristics of study participants and information on exposures and potential confounders; indicate number of participants with missing data for each variable of interest; (cohort) summarize follow-up time.","page_ref"
"Results","15","Report numbers of outcome events or summary measures (cohort/case-control/cross-sectional as applicable).","page_ref"
"Results","16","Give unadjusted estimates and, if applicable, confounder-adjusted estimates and their precision (e.g. 95% confidence interval); report category boundaries when continuous variables were categorized; if relevant, translate estimates of relative risk into absolute risk.","page_ref"
"Results","17","Report other analyses done, e.g. analyses of subgroups and interactions, and sensitivity analyses.","page_ref"
"Discussion","18","Summarize key results with reference to study objectives.","page_ref"
"Discussion","19","Discuss limitations of the study, taking into account sources of potential bias or imprecision; discuss both direction and magnitude of any potential bias.","page_ref"
"Discussion","20","Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence.","page_ref"
"Discussion","21","Discuss the generalisability (external validity) of the study results.","page_ref"
"Other information","22","Give the source of funding and the role of the funders for the present study and, if applicable, for the original study on which the present article is based.","page_ref"
